Year,DEC Region,County,Town,Waterbody,Date,Number,Species Name,Size (inches )
2024,4,Albany,Westerlo,Basic Creek,April - first week,30,Brown Trout,12 -15 inches
2024,4,Albany,Westerlo,Basic Creek,April - first week,260,Rainbow Trout,9 - 10 inches
2024,4,Albany,Coeymans,Hannacrois Creek,April - second week,70,Brown Trout,12 -15 inches
2024,4,Albany,Coeymans,Hannacrois Creek,April - second week,580,Brown Trout,9 - 10 inches
2024,4,Albany,City of Albany,Six Mile Waterworks,March - April,2100,Rainbow Trout,8 inches
2024,4,Albany,Berne,Thompsons Lake,Spring,2370,Brown Trout,8 inches
2024,4,Albany,New Scotland,Vly Creek,March - third week,40,Brown Trout,12 -15 inches
2024,4,Albany,New Scotland,Vly Creek,March - third week,320,Brown Trout,9 - 10 inches
2024,9,Allegany,Allen,Allen lake,April - second week,520,Brown Trout,12 -15 inches
2024,9,Allegany,Allen,Allen lake,Spring,3080,Brook Trout,8 inches
2024,9,Allegany,Allen,Allen lake,Spring,2940,Rainbow Trout,8 inches
2024,9,Allegany,West Almond,Black Creek,April - first week,60,Brown Trout,12 -15 inches
2024,9,Allegany,West Almond,Black Creek,April - first week,540,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Bolivar,California Hollow Brook,March - third week,40,Brown Trout,12 -15 inches
2024,9,Allegany,Bolivar,California Hollow Brook,March - third week,350,Brown Trout,9 - 10 inches
2024,9,Allegany,Almond,Canacadea Creek,April - second week,40,Brown Trout,12 -15 inches
2024,9,Allegany,Almond,Canacadea Creek,April - second week,300,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Burns,Canaseraga Creek,April - first week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Burns,Canaseraga Creek,April - first week,880,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Clarksville,Clarksville Town Pond,Early April,210,Rainbow Trout,8 inches
2024,9,Allegany,Independence,Cryder Creek,March - fourth week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Independence,Cryder Creek,March - fourth week,850,Brown Trout,9 - 10 inches
2024,9,Allegany,Clarksville,Dodge Creek,March - third week,120,Brown Trout,12 -15 inches
2024,9,Allegany,Clarksville,Dodge Creek,March - third week,1030,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Andover,Dyke Creek,March - fourth week,20,Brown Trout,12 -15 inches
2024,9,Allegany,Andover,Dyke Creek,March - fourth week,150,Rainbow Trout,9 - 10 inches
